open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-07 14:00:00,203.43,203.97,203.16,203.68,73801.717,15032374.59893,45471,31850.023,6487827.25822,0.0,0.0,0.0,0.0,0.0012289239541856123,0.0028292003747917484,0.006332945360067644,0.005965818177382712,0.0,71.40439932318107,0.0,1.0257209700634462,0.6807615466372995,0.3449594234261467,1.5643683446551753,0.0,True
2025-09-07 15:00:00,203.68,205.55,203.47,205.2,209112.425,42823592.99784,57257,100145.261,20502924.06653,0.0,0.0,0.0,0.0,0.00746268656716409,0.003115267978063703,0.006415075262006748,0.006011028100198331,0.0,71.25850340136056,0.0,1.0310876887636482,0.6839903590071277,0.3470973297565205,3.823599661810545,0.0,False
2025-09-07 16:00:00,205.2,205.48,203.39,203.45,134099.81,27411444.12576,49252,51813.168,10590095.06831,0.0,0.0,0.0,0.0,-0.008528265107212496,0.003668055325593473,0.00415889480957989,0.006041787691761683,0.0,54.255319148936096,0.0,1.0298666524705595,0.6871781589468828,0.3426884935236767,2.265066221644202,0.0,False
2025-09-07 17:00:00,203.45,203.7,201.72,201.98,196341.492,39738475.65892,52538,121498.811,24584652.06226,0.0,0.0,0.0,0.0,-0.007225362496927956,0.004069401301240175,0.004181742857323149,0.005956012986348792,0.0,45.0782997762862,0.0,1.0231661294153298,0.6902748222691727,0.3328913071461571,2.9020915121768573,0.0,True
2025-09-07 18:00:00,201.98,202.26,201.48,202.14,74411.669,15027165.14514,34052,48853.921,9867397.05198,0.0,0.0,0.0,0.0,0.000792157639370128,0.004040004270734371,0.004180779862792525,0.005951679343638249,0.0,44.70720720720704,0.0,1.0171058781360784,0.6932870900651811,0.32381878807089737,1.06608638617274,0.0,True
2025-09-07 19:00:00,202.14,203.09,201.87,203.08,69400.239,14051200.89983,35367,40020.012,8102931.75212,0.0,0.0,0.0,0.0,0.004650242406253113,0.004125940609437906,0.004128198658240494,0.005966460674085784,0.0,51.30616509926855,0.0,1.0145814910772515,0.6962483287841863,0.3183331622930652,0.9711134375277001,0.0,True
2025-09-07 20:00:00,203.08,204.93,202.58,204.92,86023.898,17499835.12922,39202,41977.103,8539182.16668,0.0,0.0,0.0,0.0,0.009060468780775821,0.0044378695240060405,0.004108807182313609,0.006004679738878762,0.0,62.15469613259667,0.0,1.0189056917334938,0.6992221293643642,0.31968356236912954,1.1708346249002415,0.0,False
2025-09-07 21:00:00,204.92,205.16,204.44,204.68,160790.118,32934131.45841,46817,49534.808,10146123.45865,0.0,0.0,0.0,0.0,-0.0011711887565878376,0.0041606553997096925,0.004038316991743749,0.0059887743040163656,0.0,58.13282001924932,0.0,1.0222707617889455,0.7021995361148212,0.32007122567412427,2.086014400921335,0.0,True
2025-09-07 22:00:00,204.68,207.46,204.34,207.1,226240.019,46606160.4555,89656,138624.007,28552113.99012,0.0,0.0,0.0,0.0,0.011823333984756657,0.00487145442802089,0.004374093946333233,0.006087167709705678,0.0,64.51876019575866,0.0,1.034582616781023,0.7052629746463069,0.3293196421347161,2.6397792701329705,0.0,False
2025-09-07 23:00:00,207.1,207.95,206.25,206.35,315164.612,65317825.47666,86925,171020.354,35442643.92885,0.0,0.0,0.0,0.0,-0.0036214389183969464,0.0049809324702203665,0.004058062091223761,0.006087183716678035,0.0,62.5296442687747,0.0,1.0439569207476325,0.7083845778361809,0.33557234291145155,3.1701262441351363,0.0,False
